"TimeOfEntry","departureAirport_city","departureAirport_iata","arrivalAirport_city","arrivalAirport_iata","departureTimeZulu","departureTimeLocal","departureTimeDayOfWeek","flightNumber"
"2024-09-16T04:08:30.523Z","Amsterdam","AMS","Dusseldorf","DUS","2024-09-16T14:50:00.000Z","16/09/2024, 16:50:00",1,"KL1803"
"2024-09-16T04:08:30.525Z","Amsterdam","AMS","Milan","MXP","2024-09-16T15:00:00.000Z","16/09/2024, 17:00:00",1,"KL1623"
"2024-09-16T04:08:30.526Z","Amsterdam","AMS","Keflavik","KEF","2024-09-16T14:50:00.000Z","16/09/2024, 16:50:00",1,"FI507"
"2024-09-16T04:08:30.526Z","Amsterdam","AMS","Nice","NCE","2024-09-16T14:45:00.000Z","16/09/2024, 16:45:00",1,"KL1479"
"2024-09-16T04:08:30.525Z","Amsterdam","AMS","Tees Valley","MME","2024-09-16T14:50:00.000Z","16/09/2024, 16:50:00",1,"T3965"
"2024-09-16T04:08:30.524Z","Amsterdam","AMS","Paris","CDG","2024-09-16T14:50:00.000Z","16/09/2024, 16:50:00",1,"AF1841"
"2024-09-16T04:08:46.564Z","Amsterdam","AMS","Atlanta","ATL","2024-09-16T15:05:00.000Z","16/09/2024, 17:05:00",1,"KL621"
"2024-09-16T04:08:46.570Z","Amsterdam","AMS","Vienna","VIE","2024-09-16T15:15:00.000Z","16/09/2024, 17:15:00",1,"KL1905"
"2024-09-16T04:08:46.570Z","Amsterdam","AMS","Dublin","DUB","2024-09-16T15:00:00.000Z","16/09/2024, 17:00:00",1,"EI609"
"2024-09-16T04:08:46.569Z","Amsterdam","AMS","London","LHR","2024-09-16T15:15:00.000Z","16/09/2024, 17:15:00",1,"KL1013"
"2024-09-16T04:08:46.571Z","Amsterdam","AMS","Prague","PRG","2024-09-16T15:20:00.000Z","16/09/2024, 17:20:00",1,"KL1359"
"2024-09-16T04:08:46.571Z","Amsterdam","AMS","Budapest","BUD","2024-09-16T15:00:00.000Z","16/09/2024, 17:00:00",1,"KL1369"
"2024-09-16T04:08:46.567Z","Amsterdam","AMS","Lisbon","LIS","2024-09-16T15:20:00.000Z","16/09/2024, 17:20:00",1,"TP671"
"2024-09-16T04:08:46.568Z","Amsterdam","AMS","Manchester","MAN","2024-09-16T15:05:00.000Z","16/09/2024, 17:05:00",1,"U22180"
"2024-09-16T04:08:46.567Z","Amsterdam","AMS","Bangkok","BKK","2024-09-16T15:05:00.000Z","16/09/2024, 17:05:00",1,"KL875"
"2024-09-16T04:08:46.567Z","Amsterdam","AMS","London","LCY","2024-09-16T15:15:00.000Z","16/09/2024, 17:15:00",1,"KL991"
