"TimeOfEntry","departureAirport_city","departureAirport_iata","arrivalAirport_city","arrivalAirport_iata","arrivalTimeZulu","arrivalTimeLocal","arrivalTimeDayOfWeek","flightNumber"
"2024-09-16T04:24:48.894Z","Keflavik","KEF","Amsterdam","AMS","2024-09-16T21:30:00.000Z","16/09/2024, 23:30:00",1,"HV6888"
"2024-09-16T04:24:48.892Z","Preveza","PVK","Amsterdam","AMS","2024-09-16T21:15:00.000Z","16/09/2024, 23:15:00",1,"HV5792"
"2024-09-16T04:24:48.895Z","Glasgow","GLA","Amsterdam","AMS","2024-09-16T21:20:00.000Z","16/09/2024, 23:20:00",1,"KL944"
"2024-09-16T04:25:05.627Z","Barcelona","BCN","Amsterdam","AMS","2024-09-16T22:15:00.000Z","17/09/2024, 00:15:00",1,"HV5134"
"2024-09-16T04:25:05.629Z","Nice","NCE","Amsterdam","AMS","2024-09-16T22:25:00.000Z","17/09/2024, 00:25:00",1,"HV5588"
"2024-09-16T04:25:05.626Z","Gran Canaria","LPA","Amsterdam","AMS","2024-09-16T22:30:00.000Z","17/09/2024, 00:30:00",1,"HV5662"
"2024-09-16T04:25:05.629Z","Ibiza Island / Eivisa","IBZ","Amsterdam","AMS","2024-09-16T23:00:00.000Z","17/09/2024, 01:00:00",1,"HV5674"
"2024-09-16T04:25:05.628Z","Bari","BRI","Amsterdam","AMS","2024-09-16T22:45:00.000Z","17/09/2024, 00:45:00",1,"HV5618"
"2024-09-16T04:25:05.629Z",,"RHO","Amsterdam","AMS","2024-09-16T22:55:00.000Z","17/09/2024, 00:55:00",1,"6Y1202"
"2024-09-16T04:25:05.633Z","Bodrum","BJV","Amsterdam","AMS","2024-09-16T22:20:00.000Z","17/09/2024, 00:20:00",1,"OR3057"
"2024-09-16T04:25:05.632Z","Francisco Sa Carneiro Int.","OPO","Amsterdam","AMS","2024-09-16T22:15:00.000Z","17/09/2024, 00:15:00",1,"HV6002"
"2024-09-16T04:25:05.632Z","Catania","CTA","Amsterdam","AMS","2024-09-16T23:15:00.000Z","17/09/2024, 01:15:00",1,"HV5218"
"2024-09-16T04:25:05.631Z","Alicante / Benidorm / Costa Blanca","ALC","Amsterdam","AMS","2024-09-16T21:50:00.000Z","16/09/2024, 23:50:00",1,"HV6146"
"2024-09-16T04:25:05.628Z","Ohrid","OHD","Amsterdam","AMS","2024-09-16T22:10:00.000Z","17/09/2024, 00:10:00",1,"OR3504"
"2024-09-16T04:25:05.628Z","Paphos","PFO","Amsterdam","AMS","2024-09-16T22:25:00.000Z","17/09/2024, 00:25:00",1,"HV5518"
"2024-09-16T04:25:05.633Z","Lisbon","LIS","Amsterdam","AMS","2024-09-16T22:35:00.000Z","17/09/2024, 00:35:00",1,"HV5956"
"2024-09-16T04:25:05.633Z","Verona","VRN","Amsterdam","AMS","2024-09-16T21:55:00.000Z","16/09/2024, 23:55:00",1,"HV5462"
"2024-09-16T04:25:05.632Z","Heraklion (Iraklion)","HER","Amsterdam","AMS","2024-09-16T22:05:00.000Z","17/09/2024, 00:05:00",1,"HV6874"
"2024-09-16T04:25:22.294Z","New York","JFK","Amsterdam","AMS","2024-09-17T04:50:00.000Z","17/09/2024, 06:50:00",2,"KL642"
"2024-09-16T04:25:22.296Z","Atlanta","ATL","Amsterdam","AMS","2024-09-17T04:00:00.000Z","17/09/2024, 06:00:00",2,"DL70"
"2024-09-16T04:25:22.297Z","Ikeja","LOS","Amsterdam","AMS","2024-09-17T04:00:00.000Z","17/09/2024, 06:00:00",2,"KL588"
"2024-09-16T04:25:22.296Z","Dubai","DXB","Amsterdam","AMS","2024-09-17T04:00:00.000Z","17/09/2024, 06:00:00",2,"KL428"
"2024-09-16T04:25:22.297Z","Faro / Algarve Int. Faro","FAO","Amsterdam","AMS","2024-09-16T23:45:00.000Z","17/09/2024, 01:45:00",1,"HV5362"
"2024-09-16T04:25:22.295Z","Nairobi","NBO","Amsterdam","AMS","2024-09-17T04:30:00.000Z","17/09/2024, 06:30:00",2,"MP8372"
"2024-09-16T04:25:22.297Z","Detroit","DTW","Amsterdam","AMS","2024-09-17T04:15:00.000Z","17/09/2024, 06:15:00",2,"DL132"
"2024-09-16T04:25:22.298Z","New York","JFK","Amsterdam","AMS","2024-09-17T04:00:00.000Z","17/09/2024, 06:00:00",2,"DL46"
"2024-09-16T04:25:22.299Z","Toronto","YYZ","Amsterdam","AMS","2024-09-17T04:00:00.000Z","17/09/2024, 06:00:00",2,"KL692"
"2024-09-16T04:25:22.298Z","Sepang","KUL","Amsterdam","AMS","2024-09-17T04:25:00.000Z","17/09/2024, 06:25:00",2,"KL810"
"2024-09-16T04:25:22.301Z","Boston","BOS","Amsterdam","AMS","2024-09-17T03:45:00.000Z","17/09/2024, 05:45:00",2,"DL256"
"2024-09-16T04:25:22.300Z","Gran Canaria","LPA","Amsterdam","AMS","2024-09-17T01:45:00.000Z","17/09/2024, 03:45:00",2,"OR1636"
"2024-09-16T04:25:22.301Z","Seoul (Incheon)","ICN","Amsterdam","AMS","2024-09-17T04:00:00.000Z","17/09/2024, 06:00:00",2,"KL856"
"2024-09-16T04:25:22.300Z","Mytilene (Mitilini)","MJT","Amsterdam","AMS","2024-09-16T23:15:00.000Z","17/09/2024, 01:15:00",1,"CD110"
"2024-09-16T04:25:22.299Z","Kos","KGS","Amsterdam","AMS","2024-09-17T00:05:00.000Z","17/09/2024, 02:05:00",2,"WG1184"
"2024-09-16T04:25:38.082Z","Berlin","BER","Amsterdam","AMS","2024-09-17T05:20:00.000Z","17/09/2024, 07:20:00",2,"KL1770"
"2024-09-16T04:25:38.083Z","Luxembourg","LUX","Amsterdam","AMS","2024-09-17T05:15:00.000Z","17/09/2024, 07:15:00",2,"KL1708"
"2024-09-16T04:25:38.080Z","Brussels","BRU","Amsterdam","AMS","2024-09-17T05:05:00.000Z","17/09/2024, 07:05:00",2,"KL1700"
"2024-09-16T04:25:38.082Z","Copenhagen","CPH","Amsterdam","AMS","2024-09-17T05:25:00.000Z","17/09/2024, 07:25:00",2,"KL1266"
"2024-09-16T04:25:38.081Z","Washington","IAD","Amsterdam","AMS","2024-09-17T05:00:00.000Z","17/09/2024, 07:00:00",2,"KL652"
"2024-09-16T04:25:38.086Z","Singapore","SIN","Amsterdam","AMS","2024-09-17T05:15:00.000Z","17/09/2024, 07:15:00",2,"SQ324"
"2024-09-16T04:25:38.084Z","Sharjah","SHJ","Amsterdam","AMS","2024-09-17T05:25:00.000Z","17/09/2024, 07:25:00",2,"SQ7374"
"2024-09-16T04:25:38.083Z","Stuttgart","STR","Amsterdam","AMS","2024-09-17T05:25:00.000Z","17/09/2024, 07:25:00",2,"ZQ1826"
"2024-09-16T04:25:38.085Z","Hong Kong","HKG","Amsterdam","AMS","2024-09-17T04:55:00.000Z","17/09/2024, 06:55:00",2,"CX271"
